n,Karatsuba
2037,7966508
2038,8000087
2039,8009148
2040,7977209
2041,8012223
2042,8013412
2043,8008492
2044,8009189
2045,8038996
2046,8052977
2047,8035306
2048,8056831
2049,8071673
2050,8065974
2051,8063760
2052,8077987
2053,8082292
2054,8108327
2055,8080529
2056,8101808
2057,8105211
2058,8156994
2059,8123456
2060,8146006
2061,8130385
2062,8124850
2063,8128704
2064,8171098
2065,8183193
2066,8159946
2067,8167572
2068,8202873
2069,8204759
2070,8191147
2071,8200905
2072,8196067
2073,8219519
2074,8211811
2075,8235550
2076,8216403
2077,8260068
2078,8268760
2079,8251376
2080,8273434
2081,8257075
2082,8265316
2083,8277985
2084,8283192
2085,8266423
2086,8305291
2087,8306808
2088,8291515
2089,8299715
2090,8323249
2091,8326693
2092,8323372
2093,8329686
2094,8342847
2095,8341740
2096,8359001
2097,8352933
2098,8372531
2099,8380977
2100,8370891
2101,8386512
2102,8372408
2103,8408898
2104,8392457
2105,8403773
2106,8394589
2107,8424683
2108,8422305
2109,8423412
2110,8414515
2111,8445019
2112,8451169
2113,8460804
2114,8484666
2115,8470808
2116,8471669
2117,8454490
2118,8475810
2119,8480238
2120,8492333
2121,8508610
2122,8486224
2123,8514432
2124,8523903
2125,8522058
2126,8522099
2127,8524682
2128,8533825
2129,8545387
2130,8552070
2131,8536080
2132,8549733
2133,8575522
2134,8559819
2135,8558384
2136,8568593
2137,8593275
2138,8579622
2139,8601229
2140,8589831
2141,8594136
2142,8604960
2143,8600819
2144,8644812
2145,8630216
2146,8643623
2147,8650962
2148,8647805
2149,8659900
2150,8655349
2151,8661868
2152,8682204
2153,8674865
2154,8668100
2155,8666624
2156,8689789
2157,8714020
2158,8702827
2159,8720949
2160,8727673
2161,8705410
2162,8736939
2163,8753708
2164,8749567
2165,8751986
2166,8739030
2167,8750838
2168,8779210
2169,8786631
2170,8784417
2171,8803400
2172,8796225
2173,8798685
2174,8785565
2175,8819103
2176,8822834
2177,8834560
2178,8848418
2179,8842309
2180,8837676
2181,8863834
2182,8853502
2183,8876011
2184,8901226
2185,8875314
2186,8892288
2187,8906187
2188,8897823
2189,8916806
2190,8902169
2191,8889377
2192,8915576
2193,8945752
2194,8941898
2195,8931607
2196,8938085
2197,8946818
2198,8965268
2199,8938741
2200,8991836
2201,8950139
2202,8965104
2203,8986916
2204,8985973
2205,8987162
2206,8976584
2207,8983554
2208,8998150
2209,9006309
2210,9006104
2211,9021315
2212,9033205
2213,9018978
2214,9045054
